at_or_below_storage_floor,cosine,layer,max_abs,reference_norm,relative_difference
False,0.015211549737974235,1,1535.1465392112732,18416.83986936708,1.0142273812195581
False,0.0031869543847071863,2,868.9229202270508,15317.103193412197,1.0218722032422467
False,0.016981558830911875,3,778.269926071167,13072.498632529108,1.0123535900612313
False,-0.0059813780954039285,4,760.9981393814087,10630.527489589176,1.0245060303809754
False,0.021262259060456375,5,725.8631691932678,9832.538328353514,1.005748621896027
False,0.014689699288106239,6,514.9252195358276,8217.266232842981,1.0063219396654852
False,0.016047440995284393,7,374.76128005981445,5587.941858994581,1.0141533892137804
False,0.08061568871265681,8,309.6541166305542,3617.771513297618,1.0042833629196863
False,0.11156214636217598,9,202.439546585083,2750.5878334669296,0.9966598640124927
False,0.11576168703936475,10,158.2417335510254,1790.624660787997,1.0017133881413338
False,0.11600177413021376,11,119.29249048233032,1204.1776551927749,1.0037902133763008
False,0.18323262262809498,12,52.55269694328308,724.7940465276412,0.9950164160388412
False,0.19798323785387437,13,48.03809309005737,654.3103935477812,0.9877107115839485
False,0.21685047058301976,14,36.36103963851929,550.0162916986477,0.9898561274247891
False,0.233918977729901,15,44.056045055389404,506.2082593780081,0.9872889826520794
False,0.2815057964351415,16,28.542664051055908,414.18448554775244,0.9756740168459572
False,0.29510306220937105,17,29.40771448612213,367.4599024359874,0.9725245889056763
False,0.3725056066728048,18,21.018924236297607,301.3654041817493,0.9369248521680352
False,0.40146664299724527,19,19.577042818069458,276.611422996834,0.9240966203265967
False,0.42086552418312345,20,16.53307867050171,256.8132291098965,0.9136034310690436
False,0.44131790959253725,21,16.17371654510498,243.0715678106883,0.9026703520852105
False,0.44365599636524333,22,16.649727821350098,225.24497047427946,0.9036202933043262
False,0.46818224076082127,23,27.373338043689728,224.6707798445572,0.8856757820210147
False,0.5128475302116683,24,22.214325666427612,194.1220340722551,0.859831035825924
False,0.5277212954909708,25,20.73341989517212,183.62363284453647,0.8500182800265608
False,0.5313092611333295,26,22.3067045211792,177.31588446548383,0.8471872064572676
False,0.5259577240773062,27,21.051862716674805,169.86877040300436,0.8505481781584898
False,0.5381730704580567,28,32.664684772491455,163.98356964187772,0.843830892268023
False,0.5018144978225563,29,34.29534864425659,167.4388041871306,0.8662888698383729
False,0.576836929193714,30,17.75422954559326,132.86703314113132,0.8177721398461307
False,0.674556456116395,31,20.20902442932129,107.82427567226311,0.7397712546641593
False,0.7030234270834459,32,24.05815362930298,105.16044277437364,0.7162789650604972
False,0.825260182999514,33,30.32660150527954,77.3699939367796,0.5689961526063007
