layer,normalized_depth,regression_frobenius,hosted_frobenius,cosine,relative_difference_to_hosted,regression_identity_distance,hosted_identity_distance
1,0.029411764705882353,4596.371110437105,1264.568957161517,0.026572130579898334,3.7440782783536912,90.78476866928537,24.975844867160028
2,0.058823529411764705,4533.868634520656,1062.88552062846,0.030919210105789477,4.351063995234218,89.56463366205021,20.99870311062405
3,0.08823529411764706,3439.3953166506453,1007.4069772472466,0.02379027391573843,3.534640324639449,67.93474053783345,19.901119324180776
4,0.11764705882352941,3047.041566971938,843.6934981654008,0.034714871112562606,3.7138318589558024,60.173551174706,16.66811135384776
5,0.14705882352941177,1773.1317320633661,769.7239897507886,0.0239859342115987,2.4891843245119594,34.99733567627363,15.210388907970549
6,0.17647058823529413,1389.4887679285268,691.783123495203,0.014769271603287788,2.2304681749569544,27.411944954838912,13.678258098873604
7,0.20588235294117646,1246.5148837148804,544.2169791107908,0.03291886319089517,2.468900949504968,24.584704458142586,10.77293369570147
8,0.23529411764705882,957.2501174031579,454.0348011806515,0.05477964470146315,2.2834233828433046,18.871573347688642,8.994403878291845
9,0.2647058823529412,702.2426445377579,349.11582711455776,0.08859019302756081,2.165569574918551,13.83818186826896,6.927728647931419
10,0.29411764705882354,604.2902162151569,359.0528498079207,0.0902830262095005,1.8784659209768126,11.906082042958374,7.120882239567926
11,0.3235294117647059,466.7025827574674,284.04901315918977,0.12215135181337648,1.816085714510252,9.19714172733998,5.64395165248556
12,0.35294117647058826,378.3765550879147,258.7712353625434,0.1442666396545559,1.6480741063188507,7.4577139723044965,5.1437622320030085
13,0.38235294117647056,353.9961104348592,268.647236534222,0.14694962797547023,1.532664073582241,6.978126933375605,5.324993331798483
14,0.4117647058823529,337.6225027899985,280.0495839201785,0.14482375590572136,1.4505972405297958,6.653134625236994,5.536618648321481
15,0.4411764705882353,322.1530906093939,324.67390570315547,0.15699099788653786,1.293440295832594,6.342813414745903,6.403092108735144
16,0.47058823529411764,300.06318775802583,224.34230059615157,0.21561313595061976,1.4873448582593047,5.89442748415166,4.418221647510879
17,0.5,270.8833739294798,200.95038111046486,0.22796112611563496,1.4840977054858844,5.311261299971088,3.9476958052508215
18,0.5294117647058824,229.6979347304772,170.0856891155014,0.24375170214727182,1.471543616155309,4.486545304131475,3.3159342261562648
19,0.5588235294117647,213.69364939905225,168.44084551001274,0.27496652450057113,1.3826836489465726,4.155791519901501,3.2627010278318513
20,0.5882352941176471,200.41497574762317,163.99680530851234,0.3082021807047336,1.3191509082389803,3.8774548998875606,3.1515251618692917
21,0.6176470588235294,184.56804098393098,153.38097053287333,0.3255768633004284,1.290136280529173,3.537551631423961,2.9128752296469407
22,0.6470588235294118,166.7272048317094,151.43245840239697,0.36412781686250717,1.187599347557206,3.150476566161044,2.843178912769202
23,0.6764705882352942,152.07933132620317,153.63596228915583,0.3956395877256875,1.093881524278464,2.8268204174856466,2.8454026095137053
24,0.7058823529411765,137.10550044268786,152.28673564156622,0.42123404976079265,1.0257080896815185,2.4886081387444556,2.7802256898088005
25,0.7352941176470589,126.42970148943526,147.92421147182841,0.45100089954718275,0.9795739012352147,2.257531947850613,2.688883737749426
26,0.7647058823529411,115.57633364968555,145.22646894165737,0.48310126632435635,0.9297395709645556,2.029538970381578,2.6143631337621733
27,0.7941176470588235,104.77596313194836,137.81409423623901,0.5207242230531521,0.8866953297313087,1.799350190212225,2.450073744468895
28,0.8235294117647058,93.75031911986507,129.31723621268364,0.5692983343802053,0.8367384021596916,1.565461361007889,2.2646773358611356
29,0.8529411764705882,83.38477151055406,125.40378596472746,0.5644789390045201,0.8315371275628786,1.3499491135955812,2.185006890481177
30,0.8823529411764706,72.8217052027966,98.8162058138894,0.7356196632387138,0.6773960855841603,1.118267166308165,1.5658656282614591
31,0.9117647058823529,69.11164694224492,88.68099988571498,0.8132723613410193,0.5828724041383485,1.0131282958495493,1.3313157350323763
32,0.9411764705882353,65.80838093440174,83.01884941895699,0.8354962442569897,0.5511607985967474,0.9244173176263443,1.240057100044191
33,0.9705882352941176,58.014072700041545,71.86744182721658,0.8830361271558717,0.4753868688745917,0.7121776334632112,0.9613531987809029
